#{"t_start": 1677585839.9618278, "env_id": "DeepRMSADPP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,length_comparison,length_wp,length_bp,hops_wp,hops_bp,number_slots_wp,number_slots_bp,initial_slots_wp,initial_slots_bp,average_external_fragmentation_wp,average_external_fragmentation_bp
46,50,35.758963,0.04,0.1486920466084098,0.14675675675675676,"(0.04,)",0.0,0.0,0.14675675675675676,0.04,0.39159109645507006,475,738,1,2,4,5,0,68,0.21149812914991398,0.19905990224524092
46,50,36.124442,0.04,0.14714460781683597,0.14533333333333334,"(0.04,)",0.0,0.0,0.14533333333333334,0.04,0.49230769230769234,800,825,2,2,5,5,47,22,0.23476827615542523,0.18628026759046207
44,50,36.479904,0.06,0.14615335774302102,0.14421052631578948,"(0.06,)",0.0,0.0,0.14421052631578948,0.06,0.17559769167353667,213,1000,1,2,3,3,0,55,0.17242517780923833,0.21791507064388854
42,50,36.849639,0.08,0.14525028821573574,0.14337662337662338,"(0.08,)",0.0,0.0,0.14337662337662338,0.08,0.3056546102903719,600,1363,1,3,5,9,3,138,0.18238193884280288,0.16237857783575507
44,50,37.218076,0.06,0.1438502938243318,0.1423076923076923,"(0.06,)",0.0,0.0,0.1423076923076923,0.06,0.3125851885506588,688,1513,2,3,4,6,31,94,0.13095307004219614,0.19847916905604365
48,50,37.590537,0.02,0.1421893933848944,0.14075949367088608,"(0.02,)",0.0,0.0,0.14075949367088608,0.02,0.6363636363636364,700,400,2,1,6,5,58,0,0.16096561495299205,0.14681298064794318
48,50,37.926212,0.02,0.14061505406572222,0.13925,"(0.02,)",0.0,0.0,0.13925,0.02,0.5730337078651685,1275,950,2,2,4,3,43,80,0.2167393008855495,0.1919148208246121
46,50,38.270118,0.04,0.13927338386443908,0.1380246913580247,"(0.04,)",0.0,0.0,0.1380246913580247,0.04,0.5726495726495727,938,700,2,2,4,4,108,87,0.18387262621715653,0.20850387014181054
44,50,38.640985,0.06,0.13826605997186003,0.13707317073170733,"(0.06,)",0.0,0.0,0.13707317073170733,0.06,0.39159109645507006,475,738,1,2,3,3,0,34,0.2091346417541609,0.1988349723777062
48,50,39.021447,0.02,0.1367732524395812,0.13566265060240965,"(0.02,)",0.0,0.0,0.13566265060240965,0.02,0.46043165467625896,1088,1275,2,2,3,4,54,57,0.2207194553952211,0.2401053046294242
